asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,created_date,modified_date,asset_name,asset_type,st_astext
985525014,BRA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2,1061964.698,0.022535948,,2022-10-20 08:17:59.053411,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,47032.6431,0.000998079,,2022-10-20 08:17:59.053417,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.053425,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_100yr,2463537.462,,,2022-10-20 08:17:59.053434,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,5214982.886,,,2022-10-20 08:17:59.053439,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2,1652342.203,0.018868873,,2022-10-20 08:17:59.053648,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,ch4,62387.96765,0.000712438,,2022-10-20 08:17:59.053654,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.053661,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,3511503.639,,,2022-10-20 08:17:59.053668,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,7177185.251,,,2022-10-20 08:17:59.053674,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2,1906308.827,0.018387613,,2022-10-20 08:17:59.053894,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,79989.04261,0.000771547,,2022-10-20 08:17:59.0539,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.053907,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,4289982.297,,,2022-10-20 08:17:59.053914,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_20yr,8954427.324,,,2022-10-20 08:17:59.05392,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2,1788511.925,0.018319675,,2022-10-20 08:17:59.054141,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,ch4,72717.99106,0.000744848,,2022-10-20 08:17:59.054147,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.054155,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,3955508.059,,,2022-10-20 08:17:59.054162,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_20yr,8211545.462,,,2022-10-20 08:17:59.054168,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,1816470.523,0.018473771,,2022-10-20 08:17:59.054365,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,74159.81578,0.000754216,,2022-10-20 08:17:59.054371,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.054385,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_100yr,4026433.033,,,2022-10-20 08:17:59.054392,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,8365737.293,,,2022-10-20 08:17:59.054398,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,1733720.451,0.018363126,,2022-10-20 08:17:59.054616,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,70220.83932,0.000743761,,2022-10-20 08:17:59.054623,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.05463,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,3826301.463,,,2022-10-20 08:17:59.054638,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,7942415.437,,,2022-10-20 08:17:59.054643,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,1651246.069,0.018453058,,2022-10-20 08:17:59.054848,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,66570.7991,0.000743944,,2022-10-20 08:17:59.054856,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.054863,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,3635055.882,,,2022-10-20 08:17:59.05487,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
